Chunk Index,Chunk Text,RAKE Keywords,SpaCy Keywords,LSA Summary,LexRank Summary,Transformer Summary
10,"Organic pest, disease and weed management Organic pest management builds on the enhancement of natural balances rather than the elimination of pests. Preventive measures include the choice of resistant crop varieties and the encouragement of beneficial organisms (e.g. predators or parasites of pests). Where intervention is needed, only substances authorized in organic standards may be used (e.g. natural pesticides such as neem oil). Weed management relies largely on cultural practices such as mulching.","weed management organic pest management builds, weed management relies largely, organic standards may, resistant crop varieties, preventive measures include","pests, organic pest, disease, weed management organic pest management, the enhancement","Where intervention is needed, only substances authorized in organic standards may be used (e.g. natural pesticides such as neem oil).","Organic pest, disease and weed management Organic pest management builds on the enhancement of natural balances rather than the elimination of pests.",Organic pest management builds on the enhancement of natural balances rather than the elimination of pests. Preventive measures include the choice of resistant crop varieties. Weed management relies largely on cultural practices such as mulching.
11,"Where intervention is needed, only substances authorized in organic standards may be used (e.g. natural pesticides such as neem oil). Weed management relies largely on cultural practices such as mulching, mechanical weeding or cover crops rather than synthetic herbicides. Livestock management Organic livestock management aims to ensure animal health and welfare while contributing to the agro-ecosystem. Animals must be fed with organic feed and have access to pasture or outdoor areas whenever possible.","livestock management organic livestock management aims, weed management relies largely, outdoor areas whenever possible, organic standards may, neem oil ).","intervention, only substances, organic standards, (e.g. natural pesticides, neem oil","Weed management relies largely on cultural practices such as mulching, mechanical weeding or cover crops rather than synthetic herbicides.","Where intervention is needed, only substances authorized in organic standards may be used (e.g. natural pesticides such as neem oil).",Organic livestock management aims to ensure animal health and welfare while contributing to the agro-ecosystem. Animals must be fed with organic feed and have access to pasture or outdoor areas whenever possible. Weed management relies on cultural practices such
12,"Livestock management Organic livestock management aims to ensure animal health and welfare while contributing to the agro-ecosystem. Animals must be fed with organic feed and have access to pasture or outdoor areas whenever possible. The use of antibiotics and hormones is strictly limited; instead, disease prevention relies on natural methods (e.g. good hygiene, balanced diets). Breeds should be chosen based on their adaptability to local conditions.","livestock management organic livestock management aims, outdoor areas whenever possible, ensure animal health, disease prevention relies, balanced diets ).","livestock management organic livestock management, animal health, welfare, the agro-ecosystem, animals","The use of antibiotics and hormones is strictly limited; instead, disease prevention relies on natural methods (e.g. good hygiene, balanced diets).",Livestock management Organic livestock management aims to ensure animal health and welfare while contributing to the agro-ecosystem.,Organic livestock management aims to ensure animal health and welfare. Animals must be fed with organic feed and have access to pasture or outdoor areas whenever possible.
13,"The use of antibiotics and hormones is strictly limited; instead, disease prevention relies on natural methods (e.g. good hygiene, balanced diets). Breeds should be chosen based on their adaptability to local conditions. Certification and marketing of organic products Certification ensures that organic products meet specific standards and provides consumer confidence through a reliable label. The certification process involves regular inspections and documentation of farming practices by accredited bodies.","organic products meet specific standards, certification process involves regular inspections, organic products certification ensures, provides consumer confidence, disease prevention relies","the use, antibiotics, hormones, disease prevention, natural methods","The use of antibiotics and hormones is strictly limited; instead, disease prevention relies on natural methods (e.g. good hygiene, balanced diets).","The use of antibiotics and hormones is strictly limited; instead, disease prevention relies on natural methods (e.g. good hygiene, balanced diets).","The use of antibiotics and hormones is strictly limited. Disease prevention relies on natural methods (e.g. good hygiene, balanced diets) Breeds should be chosen based on their adaptability to local conditions."
14,"Certification and marketing of organic products Certification ensures that organic products meet specific standards and provides consumer confidence through a reliable label. The certification process involves regular inspections and documentation of farming practices by accredited bodies. Once certified, products may obtain premium prices in markets valuing health, environmental and social benefits. Marketing strategies should emphasize the quality and sustainability aspects of organic products.","products may obtain premium prices, certification process involves regular inspections, organic products meet specific standards, organic products certification ensures, provides consumer confidence","organic products, certification, marketing, organic products certification, specific standards","Once certified, products may obtain premium prices in markets valuing health, environmental and social benefits.",Certification and marketing of organic products Certification ensures that organic products meet specific standards and provides consumer confidence through a reliable label.,"Certification ensures that organic products meet specific standards. Once certified, products may obtain premium prices in markets valuing health, environmental and social benefits."
15,"Once certified, products may obtain premium prices in markets valuing health, environmental and social benefits. Marketing strategies should emphasize the quality and sustainability aspects of organic products. Designing crop rotations and associations Crop rotations should be designed according to local soil and climate conditions, associating crops that complement each other regarding nutrient needs and pest control. For instance, cereals can be followed by legumes that fix nitrogen in the soil.","products may obtain premium prices, regarding nutrient needs, markets valuing health, designing crop rotations, associations crop rotations","products, premium prices, markets, health, environmental and social benefits","Once certified, products may obtain premium prices in markets valuing health, environmental and social benefits.","Once certified, products may obtain premium prices in markets valuing health, environmental and social benefits."," marketing strategies should emphasize the quality and sustainability aspects of organic products. Once certified, products may obtain premium prices in markets valuing health, environmental and social benefits."
16,"Designing crop rotations and associations Crop rotations should be designed according to local soil and climate conditions, associating crops that complement each other regarding nutrient needs and pest control. For instance, cereals can be followed by legumes that fix nitrogen in the soil. Intercropping – growing two or more crops together – enhances biodiversity and reduces risks of pest outbreaks. Careful planning ensures long-term soil fertility and farm resilience.","crops together – enhances biodiversity, intercropping – growing two, careful planning ensures long, regarding nutrient needs, designing crop rotations","crop rotations, associations, local soil and climate conditions, crops, nutrient needs",Intercropping – growing two or more crops together – enhances biodiversity and reduces risks of pest outbreaks.,"Designing crop rotations and associations Crop rotations should be designed according to local soil and climate conditions, associating crops that complement each other regarding nutrient needs and pest control.",Crop rotations should be designed according to local soil and climate conditions. Intercropping enhances biodiversity and reduces risks of pest outbreaks. Careful planning ensures long-term soil fertility and farm resilience.
17,"Intercropping – growing two or more crops together – enhances biodiversity and reduces risks of pest outbreaks. Careful planning ensures long-term soil fertility and farm resilience. Water management in organic systems Efficient water management is key to organic agriculture, especially in dry regions. Practices include rainwater harvesting, mulching to reduce evaporation, and the use of drought-resistant crop varieties. Irrigation, when needed, should prioritize water-saving techniques such as drip irrigation.","crops together – enhances biodiversity, organic systems efficient water management, intercropping – growing two, practices include rainwater harvesting, careful planning ensures long","two or more crops, biodiversity, risks, pest outbreaks, careful planning",Intercropping – growing two or more crops together – enhances biodiversity and reduces risks of pest outbreaks.,Intercropping – growing two or more crops together – enhances biodiversity and reduces risks of pest outbreaks.,"Efficient water management is key to organic agriculture, especially in dry regions. Practices include rainwater harvesting, mulching to reduce evaporation, and the use of drought-resistant crop varieties. Intercropping – growing two or more"
18,"Water management in organic systems Efficient water management is key to organic agriculture, especially in dry regions. Practices include rainwater harvesting, mulching to reduce evaporation, and the use of drought-resistant crop varieties. Irrigation, when needed, should prioritize water-saving techniques such as drip irrigation. Soil organic matter, enhanced through organic practices, also improves water retention. Genetic resources Organic agriculture promotes the conservation of genetic diversity in crops and livestock.","genetic resources organic agriculture promotes, organic systems efficient water management, also improves water retention, practices include rainwater harvesting, soil organic matter","water management, organic systems efficient water management, organic agriculture, dry regions, practices","Practices include rainwater harvesting, mulching to reduce evaporation, and the use of drought-resistant crop varieties.","Water management in organic systems Efficient water management is key to organic agriculture, especially in dry regions.","Efficient water management is key to organic agriculture, especially in dry regions. Practices include rainwater harvesting, mulching to reduce evaporation. Irrigation, when needed, should prioritize water-saving techniques."
19,"Soil organic matter, enhanced through organic practices, also improves water retention. Genetic resources Organic agriculture promotes the conservation of genetic diversity in crops and livestock rather than relying on a limited number of high-yielding varieties or breeds. Traditional varieties and local breeds should be preferred because of their adaptation to local conditions and their resilience to pests, diseases and climatic variations. Seed saving and exchange among farmers play a key role.","genetic resources organic agriculture promotes, exchange among farmers play, also improves water retention, soil organic matter, genetic diversity","soil, organic matter, organic practices, water retention, genetic resources organic agriculture",Genetic resources Organic agriculture promotes the conservation of genetic diversity in crops and livestock rather than relying on a limited number of high-yielding varieties or breeds.,"Soil organic matter, enhanced through organic practices, also improves water retention.","Soil organic matter, enhanced through organic practices, also improves water retention. Traditional varieties and local breeds should be preferred. Seed saving and exchange among farmers play a key role."
20,"Traditional varieties and local breeds should be preferred because of their adaptation to local conditions and their resilience to pests, diseases and climatic variations. Seed saving and exchange among farmers play a key role in maintaining this diversity. The agroforestry option Agroforestry – the integration of trees with crops and/or livestock – represents an advanced organic practice that enhances farm sustainability. Trees provide shade, act as windbreaks and contribute organic matter to the soil through leaf litter.","exchange among farmers play, agroforestry option agroforestry –, livestock – represents, enhances farm sustainability, contribute organic matter","trees, traditional varieties, local breeds, their adaptation, local conditions","Trees provide shade, act as windbreaks and contribute organic matter to the soil through leaf litter.","Traditional varieties and local breeds should be preferred because of their adaptation to local conditions and their resilience to pests, diseases and climatic variations.","Trees provide shade, act as windbreaks and contribute organic matter to the soil through leaf litter. Traditional varieties and local breeds should be preferred because of their adaptation to local conditions."
21,"The agroforestry option Agroforestry – the integration of trees with crops and/or livestock – represents an advanced organic practice that enhances farm sustainability. Trees provide shade, act as windbreaks and contribute organic matter to the soil through leaf litter while their roots help prevent soil erosion. Marketable tree products (e.g. fruits, timber) diversify income sources, while fodder trees can support livestock. Risk management Organic systems are designed to be resilient to climatic and economic risks.","roots help prevent soil erosion, agroforestry option agroforestry –, risk management organic systems, contribute organic matter, advanced organic practice","trees, livestock, the agroforestry option agroforestry, the integration, crops","Marketable tree products (e.g. fruits, timber) diversify income sources, while fodder trees can support livestock.",The agroforestry option Agroforestry – the integration of trees with crops and/or livestock – represents an advanced organic practice that enhances farm sustainability.,"Trees provide shade, act as windbreaks and contribute organic matter to the soil through leaf litter. Their roots help prevent soil erosion. Fodder trees can support livestock."
22,"Marketable tree products (e.g. fruits, timber) diversify income sources, while fodder trees can support livestock. Risk management Organic systems are designed to be resilient to climatic and economic risks. Diversification – growing a variety of crops and integrating livestock – reduces the economic impact of crop failure or market price fluctuations. Local knowledge combined with organic practices increases resilience to weather extremes.","risk management organic systems, organic practices increases resilience, integrating livestock – reduces, diversification – growing, marketable tree products","livestock, marketable tree products, e.g. fruits, timber, income sources","Marketable tree products (e.g. fruits, timber) diversify income sources, while fodder trees can support livestock.","Marketable tree products (e.g. fruits, timber) diversify income sources, while fodder trees can support livestock.",Organic systems are designed to be resilient to climatic and economic risks. Diversification – growing a variety of crops and integrating livestock – reduces the economic impact of crop failure.
23,"Diversification – growing a variety of crops and integrating livestock – reduces the economic impact of crop failure or market price fluctuations. Local knowledge combined with organic practices increases resilience to weather extremes. Physical measures (e.g. terracing, windbreaks) protect against soil erosion and water loss. Processing organic products Processing must preserve the organic integrity of products and avoid synthetic additives or processes prohibited in organic standards (e.g. artificial flavours or GMOs).","processing organic products processing must preserve, organic practices increases resilience, integrating livestock – reduces, diversification – growing, market price fluctuations","diversification, a variety, crops, livestock, the economic impact",Local knowledge combined with organic practices increases resilience to weather extremes.,Diversification – growing a variety of crops and integrating livestock – reduces the economic impact of crop failure or market price fluctuations.,"Local knowledge combined with organic practices increases resilience to weather extremes. Physical measures (e.g. terracing, windbreaks) protect against soil erosion and water loss. Processing must preserve the organic integrity of products and avoid synthetic additives."
24,"Physical measures (e.g. terracing, windbreaks) protect against soil erosion and water loss. Processing organic products Processing must preserve the organic integrity of products and avoid synthetic additives or processes prohibited in organic standards (e.g. artificial flavours or GMOs). Preference should be given to simple mechanical or natural processes (e.g. drying, fermenting). Labelling must clearly indicate organic certification and provide information on origin and production methods.","labelling must clearly indicate organic certification, processing organic products processing must preserve, avoid synthetic additives, organic standards, organic integrity","physical measures, (e.g. terracing, windbreaks, soil erosion, water loss","Preference should be given to simple mechanical or natural processes (e.g. drying, fermenting).","Physical measures (e.g. terracing, windbreaks) protect against soil erosion and water loss.","Preference should be given to simple mechanical or natural processes. Labelling must clearly indicate organic certification. Physical measures (e.g. terracing, windbreaks) protect against soil erosion and water loss."
25,"Preference should be given to simple mechanical or natural processes (e.g. drying, fermenting). Labelling must clearly indicate organic certification and provide information on origin and production methods. Marketing channels and consumers Organic farmers can sell through local markets, cooperatives or directly to consumers to maximize income and build relationships. Short supply chains reduce transport costs and environmental impact while ensuring freshness.","short supply chains reduce transport costs, labelling must clearly indicate organic certification, consumers organic farmers, simple mechanical, provide information","consumers, preference, simple mechanical or natural processes, labelling, organic certification",Short supply chains reduce transport costs and environmental impact while ensuring freshness.,"Preference should be given to simple mechanical or natural processes (e.g. drying, fermenting).","Short supply chains reduce transport costs and environmental impact while ensuring freshness. Organic farmers can sell through local markets, cooperatives or directly to consumers."
26,"Marketing channels and consumers Organic farmers can sell through local markets, cooperatives or directly to consumers to maximize income and build relationships. Short supply chains reduce transport costs and environmental impact while ensuring freshness. Educating consumers about the benefits of organic products (e.g. health, environment) encourages demand and justifies premium prices. Policies and programmes supporting organic agriculture Governments and institutions can support organic agriculture through policies.","short supply chains reduce transport costs, programmes supporting organic agriculture governments, support organic agriculture, justifies premium prices, consumers organic farmers","consumers, policies, marketing channels, organic farmers, local markets","Educating consumers about the benefits of organic products (e.g. health, environment) encourages demand and justifies premium prices.","Marketing channels and consumers Organic farmers can sell through local markets, cooperatives or directly to consumers to maximize income and build relationships.","Short supply chains reduce transport costs and environmental impact while ensuring freshness. Educating consumers about the benefits of organic products (e.g. health, environment) encourages demand and justifies premium prices."
27,"Educating consumers about the benefits of organic products (e.g. health, environment) encourages demand and justifies premium prices. Policies and programmes supporting organic agriculture Governments and institutions can support organic agriculture through policies providing training, research, subsidies and market development. Programmes should facilitate access to certification and organic inputs and promote awareness among farmers and consumers.","programmes supporting organic agriculture governments, promote awareness among farmers, support organic agriculture, justifies premium prices, policies providing training","consumers, policies, programmes, the benefits, organic products","Educating consumers about the benefits of organic products (e.g. health, environment) encourages demand and justifies premium prices.","Educating consumers about the benefits of organic products (e.g. health, environment) encourages demand and justifies premium prices.","Government and institutions can support organic agriculture through policies providing training, research, subsidies and market development. Programmes should facilitate access to certification and organic inputs."
28,"Programmes should facilitate access to certification and organic inputs and promote awareness among farmers and consumers. FAO assists countries in integrating organic agriculture into national strategies for sustainable development. Challenges to adoption Farmers face several challenges when adopting organic agriculture: high initial labour demand, a conversion period with reduced yields, limited access to organic inputs and markets, and insufficient technical knowledge.","adoption farmers face several challenges, promote awareness among farmers, high initial labour demand, insufficient technical knowledge, fao assists countries","organic inputs, farmers, organic agriculture, programmes, access","Challenges to adoption Farmers face several challenges when adopting organic agriculture: high initial labour demand, a conversion period with reduced yields, limited access to organic inputs and markets, and insufficient technical knowledge.",Programmes should facilitate access to certification and organic inputs and promote awareness among farmers and consumers.,"Farmers face several challenges when adopting organic agriculture. High initial labour demand, conversion period with reduced yields, limited access to organic inputs and markets."
29,"Challenges to adoption Farmers face several challenges when adopting organic agriculture: high initial labour demand, a conversion period with reduced yields, limited access to organic inputs and markets, and insufficient technical knowledge. These can be mitigated through training, financial support and the development of local organic supply chains. The economics of organic agriculture The economic viability of organic agriculture depends on balancing higher production costs (e.g. labour) with premium prices.","adoption farmers face several challenges, balancing higher production costs, local organic supply chains, high initial labour demand, insufficient technical knowledge","organic agriculture, challenges, farmers, several challenges, high initial labour demand","These can be mitigated through training, financial support and the development of local organic supply chains.","Challenges to adoption Farmers face several challenges when adopting organic agriculture: high initial labour demand, a conversion period with reduced yields, limited access to organic inputs and markets, and insufficient technical knowledge.","Farmers face several challenges when adopting organic agriculture. High initial labour demand, a conversion period with reduced yields, limited access to organic inputs and markets. These can be mitigated through training and financial support."
30,"These can be mitigated through training, financial support and the development of local organic supply chains. The economics of organic agriculture The economic viability of organic agriculture depends on balancing higher production costs (e.g. labour) with premium prices and long-term benefits (e.g. soil health, resilience). Data from various countries show that organic farms can be profitable, particularly when marketed effectively.","balancing higher production costs, local organic supply chains, various countries show, organic agriculture depends, organic agriculture","organic agriculture, training, financial support, the development, local organic supply chains","These can be mitigated through training, financial support and the development of local organic supply chains.","These can be mitigated through training, financial support and the development of local organic supply chains.","The economic viability of organic agriculture depends on balancing higher production costs with premium prices. Data from various countries show that organic farms can be profitable, particularly when marketed effectively."
31,"Data from various countries show that organic farms can be profitable, particularly when marketed effectively. Subsidies and reduced input costs (e.g. no synthetic fertilizers) further improve profitability. Environmental benefits Organic agriculture reduces environmental pollution by avoiding synthetic pesticides and fertilizers, enhances biodiversity through diversified systems, and mitigates climate change by increasing soil carbon sequestration.","environmental benefits organic agriculture reduces environmental pollution, increasing soil carbon sequestration, various countries show, reduced input costs, mitigates climate change","data, various countries, organic farms, subsidies, reduced input costs","Data from various countries show that organic farms can be profitable, particularly when marketed effectively.","Data from various countries show that organic farms can be profitable, particularly when marketed effectively.",Organic agriculture reduces environmental pollution by avoiding synthetic pesticides and fertilizers. It enhances biodiversity through diversified systems. It mitigates climate change by increasing soil carbon sequestration.
32,"Environmental benefits Organic agriculture reduces environmental pollution by avoiding synthetic pesticides and fertilizers, enhances biodiversity through diversified systems, and mitigates climate change by increasing soil carbon sequestration. Practices like composting and agroforestry contribute to these benefits while reducing the farm’s ecological footprint. Social benefits Organic agriculture strengthens local communities by promoting fair labour practices.","social benefits organic agriculture strengthens local communities, environmental benefits organic agriculture reduces environmental pollution, increasing soil carbon sequestration, promoting fair labour practices, practices like composting","environmental benefits organic agriculture, environmental pollution, synthetic pesticides, fertilizers, biodiversity",Practices like composting and agroforestry contribute to these benefits while reducing the farm’s ecological footprint.,"Environmental benefits Organic agriculture reduces environmental pollution by avoiding synthetic pesticides and fertilizers, enhances biodiversity through diversified systems, and mitigates climate change by increasing soil carbon sequestration.",Organic agriculture reduces environmental pollution by avoiding synthetic pesticides and fertilizers. Practices like composting and agroforestry contribute to these benefits while reducing the farm’s ecological footprint.
33,"Practices like composting and agroforestry contribute to these benefits while reducing the farm’s ecological footprint. Social benefits Organic agriculture strengthens local communities by promoting fair labour practices, supporting smallholder farmers and encouraging local food systems. It enhances food security by diversifying production and reduces health risks associated with chemical exposure.","social benefits organic agriculture strengthens local communities, encouraging local food systems, reduces health risks associated, promoting fair labour practices, practices like composting","practices, agroforestry, these benefits, the farm’s ecological footprint, social benefits organic agriculture",Practices like composting and agroforestry contribute to these benefits while reducing the farm’s ecological footprint.,Practices like composting and agroforestry contribute to these benefits while reducing the farm’s ecological footprint.,"Organic agriculture strengthens local communities by promoting fair labour practices, supporting smallholder farmers and encouraging local food systems. It enhances food security by diversifying production and reduces health risks associated with chemical exposure. Practices like composting and agroforest"
34,It enhances food security by diversifying production and reduces health risks associated with chemical exposure. Traditional knowledge is valued and preserved through organic practices. Annexes Annex 1 – Soil fertility Fertility is maintained through practices described in detail in section 4 above. Annex 2 – Pest and weed management See section 5 above for practices.,"annexes annex 1 – soil fertility fertility, weed management see section 5, annex 2 – pest, reduces health risks associated, enhances food security","practices, section, food security, production, health risks",It enhances food security by diversifying production and reduces health risks associated with chemical exposure.,It enhances food security by diversifying production and reduces health risks associated with chemical exposure.,Organic farming enhances food security by diversifying production and reduces health risks associated with chemical exposure. Traditional knowledge is valued and preserved through organic practices.
